Posting Type,Portfolio Name,Sub Portfolio,Property Name,Expedia ID,Expedia Review Status,Billing Type,From,To,Remaining/Direct Billed,Expedia Amount Reported to Property,Additional Revenue,Expedia Amount Confirmed by Property,,Booking ID,Booking.Com Review Status,Booking.com Amount to be Claimed,Booking.com Amount Confirmed by Property,,Agoda ID,AGODA Review Status,Amount to be Claimed From Agoda,Amount Confirmed by Property
OTA+,Chartwell Hospitality,,"Homewood Suites, Oklahoma City ID-1871646",1871646,OTA Post Completed,VCC,8/25/2023,7/31/2024,Remaining,"$2,040.46",,"$1,607.32",,,No Review Required,,,,2731181,OTA Post Completed,$379.12 ,$379.12 
OTA+,Chartwell Hospitality,,Marriott Franklin Cool Springs ID-282732,282732,Work Management,VCC,9/25/2024,8/31/2024,Remaining,,,,,,No Review Required,,,,2457646,Nothing to Report,$0.00,$0.00
OTA+,Chartwell Hospitality,,Marriott JFK,58286510,Work Management,VCC,9/25/2024,8/31/2024,Remaining,,,,,,No Review Required,,,,21727126,OTA Post Completed,"$1,906.62 ","$1,906.62 "
OTA+,Chartwell Hospitality,,"Residence Inn Green Hills, Nashville ID-29850030",29850030,Work Management,VCC,9/25/2024,8/31/2024,Remaining,,,,,,No Review Required,,,,6857299,OTA Post Completed,$210.88 ,$210.88 
OTA+,Chartwell Hospitality,,"Residence Inn New York JFK Airport, ID-56542753",56542753,Work Management,VCC,9/25/2024,8/31/2024,Remaining,,,,,,No Review Required,,,,16897667,Nothing to Report,$0.00,$0.00
OTA+,Chartwell Hospitality,,"Residence Inn, Franklin ID-2425499",2425499,Work Management,VCC,9/25/2024,8/31/2024,Remaining,,,,,,No Review Required,,,,2451314,OTA Post Completed,$785.38 ,$785.38 
OTA+,Chartwell Hospitality,,"Residence Inn, Kansas City ID-13295788",13295788,Work Management,VCC,9/25/2024,8/31/2024,Remaining,,,,,,No Review Required,,,,2463554,OTA Post Completed,$341.54 ,$341.54 
OTA+,Chartwell Hospitality,,"Residence Inn, Southaven ID-1524677",1524677,Work Management,VCC,9/25/2024,8/31/2024,Remaining,,,,,,No Review Required,,,,2454595,OTA Post Completed,"$1,954.66 ","$1,954.66 "
OTA+,Chartwell Hospitality,,"Spring Hill Suites, Franklin ID-55222662",55222662,Work Management,VCC,9/25/2024,8/31/2024,Remaining,,,,,,No Review Required,,,,16509996,Job Assigned,,
OTA+,Chartwell Hospitality,,"Townplace Suites, Nashville, ID-4643970",4643970,Work Management,VCC,9/25/2024,8/31/2024,Remaining,,,,,,No Review Required,,,,2451911,OTA Post Completed,$110.05 ,$110.05 
